Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
communication,7991391590064,Apartment 1,05/02/2014,testqama,Warranty,Architect,ABC Kitchens,08/02/2014,None,Closed,Missing hinge,,,None,0.00
communication,7991391590127,Apartment 2,05/02/2014,testqama,Purchase Changes,Structural Engineer,Smith Plumbing,08/02/2014,None,Pending,Thin paint,,,None,0.00
communication,7991391593729,Apartment 1 > Balcony,05/02/2014,testqama,Warranty,Structural Engineer,ABD Group (Gino Aiello) > Apex (Matt),05/02/2014 > 06/02/2014,None > None,Pending > Fixed,Re plaster wall,,,None,0.00
communication,7991391594073,Apartment 2,05/02/2014,testqama,Warranty,Structural Engineer,Apex (Matt),08/02/2014,None,Open,Thin paint,,,None,0.00
communication,7991391594248,Apartment 2 > Balcony,05/02/2014,testqama,Warranty,Structural Engineer,Quadform (Jim Louzis),08/02/2014,None,Closed,Missing hinge,,,None,0.00
communication,7991391594261,Apartment 2 > Balcony,05/02/2014,testqama,Warranty,Structural Engineer,Quadform (Jim Louzis),08/02/2014,None,Closed,Missing hinge,,,None,0.00
communication,7991391594270,Apartment 2 > Balcony,05/02/2014,testqama,Warranty,Structural Engineer,Quadform (Jim Louzis),08/02/2014,None,Closed,Missing hinge,,,None,0.00
communication,7991391594290,Apartment 2 > Balcony,05/02/2014,testqama,Warranty,Structural Engineer,Quadform (Jim Louzis) > Smith Plumbing (Billy Johns),08/02/2014 > 07/02/2014,None > None,Closed > Closed,Missing hinge,,,None,0.00
communication,9931391582287,Apartment 1,05/02/2014,testqama,Warranty,Architect,Justin,08/02/2014,None,Pending,Missing hinge,,,None,0.00
communication,9931391582360,Apartment 2,05/02/2014,testqama,Warranty,Structural Engineer,Smith Plumbing (Billy Johns),06/02/2014,None,Fixed,Re plaster wall,,,None,0.00
communication,9931391582498,Apartment 2 > Barhtroom,05/02/2014,testqama,Defect,Builder,ABC Kitchens (Justin Smith),08/02/2014,None,Pending,Thin paint,,,None,0.00
communication,9931391582514,Apartment 1,05/02/2014,testqama,Incomplete Works,Builder,Aardvark,08/02/2014,None,Open,Thin paint,,,None,0.00
communication,9931391582568,Apartment 1 > Balcony,05/02/2014,testqama,Warranty,Builder,Marco Polo (John  James),08/02/2014,None,Open,Missing hinge,,,None,0.00
