Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
Metro West,8204,Level 01 > 108,28/10/2014,jimmyb,Defect,Builder,NA,28/10/2014,None,Open,"Mannish 0401927221 
Advised there is a water dripping on the balcony floor from the middle of the roof. On further inspection noticed the roof is perforated at several places, which shows water related issues.",Anthony G emailed Steve from protect to inspect if it's the sprinkler,,None,0.00
Metro West,8205,Level 04 > 415,28/10/2014,jimmyb,Defect,Builder,NA,28/10/2014,None,Open,Theodore  There is a tile below the mirror in shower/laundry/toilet room not properly recessed. The protrusion from the tile is a hazard when cleaning. Toilet seat not tightened properly Door to the shower/toilet room is not fully opened Spotted paint droppings on window frame inside and outside frame Seals on window and balcony door loose Hot water pressure not working properly Gas stove igniter not working properly,Nerio is booked for Tuesday,,None,0.00
Metro West,8208,Level 01 > 117,29/10/2014,jimmyb,Defect,Builder,NA,29/10/2014,None,Open,"Jan 0403547566
The key pass is not working for the side entrance 
The intercoms is not working at all
The hallway light switch was made upside down
Emailed kevaan aardvark to attend",,,None,0.00
Metro West,8209,Level 03 > 303,29/10/2014,jimmyb,Defect,Builder,NA,29/10/2014,None,Open,"Leak in roof
Water damage to bottom of apartment front door
Balcony - crack in concrete 
Down pipe scratched/painted top and bottom
Render around white box above inverter done poorly
Main living - entrance LHS paint not even bump in wall
All joins in plaster can be seen
Bathroom- shelf in shower not aligned
Wall near vanity paintwork unfinished/grout
Paint has chipped near light switch
Light switch in bathroom sticking halfway when light on/off
Above and below door lock is split chipped
Bedroom- inside cupboard near non box paint blobs have been left
Metal strip visible RHS. Corner of wardrobe door
Drawers on Island bench are crooked
Drawers on RHS of oven are crooked
Scratch on dishwasher panel
Various chips/blobs throughout kitchen surfaces
Scratch on bench top above drawers near oven
Nicole 86244402",,,None,0.00
Metro West,8211,METROWEST > 208,09/11/2014,jimmyb,Defect,Builder,NA,09/11/2014,None,Open,The kitchen mixer col and hot water lines were mixed up,Anthony emailed trev/Shane @ trio,,None,0.00
Metro West,8212,Level 06 > 612,09/11/2014,jimmyb,Defect,Builder,NA,09/11/2014,None,Open,Flooring needs to be fixed,,,None,0.00
Metro West,8213,Level06 > 613,09/11/2014,jimmyb,Defect,Builder,NA,09/11/2014,None,Open,Flooring needs to be fixed,,,None,0.00
Metro West,8215,Level 01 > 108,10/11/2014,neriof,Defect,Builder,NA,10/11/2014,None,Open,Trio issues,Emailed Shane from trio to attend,,None,0.00
Metro West,8217,Level03 > 315,11/11/2014,jimmyb,Defect,Builder,NA,11/11/2014,None,Open,Sprinkler leak in laundry from exhaust fan,Steve @ protect was emailed 5.11.14,,None,0.00
Metro West,8219,Level 01 > 108,12/11/2014,jimmyb,Defect,Builder,NA,12/11/2014,None,Open,Paint balcony sofit black texture,,,None,0.00
Metro West,8220,Level 03 > 315,12/11/2014,jimmyb,Defect,Builder,NA,12/11/2014,None,Open,Paint corridors ceiling above apartment,Requested Anthony g,,None,0.00
Metro West,8222,Level 06 > 613,17/11/2014,jimmyb,Defect,Builder,NA,17/11/2014,None,Open,"Black mould is damaging the skirting board and painting near the carpet.
A dent under the plaster under the air cond
Some black marks on the wall around the room
The whole unit is dirty",Vu 0421547983,,None,0.00
Metro West,8223,METROWEST > 416,17/11/2014,jimmyb,Defect,Builder,NA,17/11/2014,None,Open,"The door from the main bedroom is not locking properly.
There are numerous chips in the paint work in the door frame and door to the main bedroom  and 2nd bedroom door frame. Chip out of the cupboard near the front door, chips in the kitchen cupboard near front door and chip in toilet near lock.
Also the front door to apt paint is patchy near the number",Lizabeth 0419 336070,,None,0.00
Metro West,8224,Level 01 > 108,17/11/2014,jimmyb,Defect,Builder,NA,17/11/2014,None,Open,"Mannish emailed advising water leaking from sprinkler. 
I emailed Steve from protect to fix",Mannish 0401927221,,None,0.00
Metro West,8226,Level 07 > 707,17/11/2014,jimmyb,Defect,Builder,NA,17/11/2014,None,Open,"Crack in bedroom wall.
Bedroom 2 crack in wall
Ceiling not painted properly
Scratch on side of bench
Chip on top of bench
Paint over down lights
Hall way not painted properly
Silicon not done good
Colours on the ceiling were computer desk is
Ceiling not painted the way it should","Novo 0402901799
Nerio inspected sat 15.11.14",,None,0.00
Metro West,8227,Level 03 > 302,02/12/2014,kelly,Defect,Builder,NA,02/12/2014,None,Open,"Nerio inspected needs a new air conditioner cover, cleaners spray orange solvent.","I emailed mark from cold flow to arrange a new cover, advised by Nerio",,None,0.00
Metro West,8228,Level 06 > 611,02/12/2014,kelly,Defect,Builder,NA,02/12/2014,None,Open,"Neil 0411429456
Issue with front door needing to be inspected",,,None,0.00
Metro West,7721383111449,Basement,30/10/2013,rkwijas,Defect,Builder,Champion (Dennis),06/11/2013,None,Open,Nail holes need to be patched where form work has been installed. Please check all car park areas.,,,None,0.00
Metro West,7721383111527,Basement,30/10/2013,rkwijas,Defect,Builder,Champion (Dennis),06/11/2013,None,Open,PVC down pipes to be cleaned of concrete over spray.,,,None,0.00
Metro West,7721383111614,Basement,30/10/2013,rkwijas,Defect,Builder,Champion (Dennis),06/11/2013,None,Open,Patching and sanding of concrete precast panel to basement car park.,,,None,0.00
Metro West,7721383111720,Basement,30/10/2013,rkwijas,Defect,Builder,Champion (Dennis),06/11/2013,None,Open,Scrap concrete from where it leaked under the form work.,,,None,0.00
Metro West,7721383111769,Basement,30/10/2013,rkwijas,Defect,Builder,Champion (Dennis),06/11/2013,None,Open,Cut back foam from around all round columns,,,None,0.00
Metro West,7721383111841,Basement,30/10/2013,rkwijas,Defect,Builder,Champion (Dennis),06/11/2013,None,Open,Remove nails that are sticking out of concrete.,,,None,0.00
Metro West,7721383111934,Basement,30/10/2013,rkwijas,Incomplete Works,Builder,Champion (Dennis),06/11/2013,None,Open,Remove wrapping from around round concrete column.,,,None,0.00
