Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
Zano,9221426642031,Building > Level 01 > Apartments > 104 > Kitchen,18/03/2015,rconti,Defect,Builder,Queens Dream Joinery (Lili Cai),11/04/2015,None,Open,Kitchen - lack of finished tupac painted surface protection. No felt or styrofoam packing inserted caused scratch marks to painted surface,,,None,0.00
Zano,9221426642162,Building > Level 01 > Apartments > 104 > Kitchen,18/03/2015,rconti,Issue,Builder,Queens Dream Joinery (Lili Cai),11/04/2015,None,Open,Kitchen - paint chipped at corners of draw.,,,None,0.00
Zano,9221426642373,Building > Level 01 > Apartments > 104 > Kitchen,18/03/2015,rconti,Defect,Builder,Queens Dream Joinery (Lili Cai),11/04/2015,None,Open,Kitchen - tupac paint over-roll to edges. excessive paint coating defect,,,None,0.00
Zano,9221426642521,Building > Level 01 > Apartments > 104 > Kitchen,18/03/2015,rconti,Issue,Builder,Queens Dream Joinery (Lili Cai),11/04/2015,None,Open,Kitchen- front panel missing and back support plate not screwed in place (fixed 1 side only),,,None,0.00
Zano,9221426642670,Building > Level 01 > Apartments > 104 > Kitchen,18/03/2015,rconti,Issue,Builder,Queens Dream Joinery (Lili Cai),11/04/2015,None,Open,Kitchen - cabinet surface scratched from lack of felt or styrofoam packing media installed,,,None,0.00
Zano,10041426549610,Building > Ground > Residential > Lobby > Lift Lobby > Stair,17/03/2015,jderbyshire,Incomplete Works,Builder,REDS Concreting (Darren Still),25/03/2015,None,Open,Concrete - Scabbling Not performed,,,None,0.00
Zano,10041426549863,Building > Level 01 > Common Areas > Passage,17/03/2015,jderbyshire,Incomplete Works,Builder,REDS Concreting (Darren Still),25/03/2015,None,Open,"Concrete - Scabbling Not performed, patch required",,,None,0.00
Zano,10041426549983,Building > Level 01 > Common Areas > Passage,17/03/2015,jderbyshire,Incomplete Works,Builder,REDS Concreting (Darren Still),25/03/2015,None,Open,Concrete - sand and finish,,,None,0.00
Zano,10041426550130,Building > Level 01 > Common Areas > Passage,17/03/2015,jderbyshire,Incomplete Works,Builder,REDS Concreting (Darren Still),25/03/2015,None,Open,Concrete - Scabbling Not performed,,,None,0.00
Zano,10041426550440,Building > Level 01 > Common Areas > Passage,17/03/2015,jderbyshire,Incomplete Works,Builder,REDS Concreting (Darren Still),27/03/2015,None,Open,Precast Panel - lift opening check out required,,,None,0.00
