Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
La Scala,8711411695380,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),04/10/2014,None,Open,Remove unused fixing and mirror,,,None,0.00
La Scala,8711411695439,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),04/10/2014,None,Open,Remove concrete slurry and fixing on floor,,,None,0.00
La Scala,8711411695518,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,Patch Pre-Cast As required,,,None,0.00
La Scala,8711411695566,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Visitor bay
Patch precast and remove duct tape",,,None,0.00
La Scala,8711411695644,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Visitor bay
Rough floor finish
Patching and sealing to make smooth surface",,,None,0.00
La Scala,8711411695673,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Visitor bay
Remove concrete slurry and treat accordingly",,,None,0.00
La Scala,8711411695707,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Visitor bay
Patch and treat precast as required",,,None,0.00
La Scala,8711411695781,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,Remove unused fixing and patch columns as required,,,None,0.00
La Scala,8711411695828,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Visitor bay
Remove fixing off soffit and patch as required",,,None,0.00
La Scala,8711411695891,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,Remove concrete slurry ,,,None,0.00
La Scala,8711411695930,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Visitor bay
Patch and seal as required",,,None,0.00
La Scala,8711411696015,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 204
Fire collar / cover to gap",,,None,0.00
La Scala,8711411696053,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 203
Rough concrete finish ",,,None,0.00
La Scala,8711411696121,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 201 and 202
Remove fixing and marking off wall
Patch and seal as required",,,None,0.00
La Scala,8711411696174,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 112
Patch soffit as required",,,None,0.00
La Scala,8711411696223,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 112 and 110
Concrete slurry to be removed",,,None,0.00
La Scala,8711411696273,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 110
Concrete slurry to be remove surround discharge point ",,,None,0.00
La Scala,8711411696313,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 108 and 107
Concrete slurry to be clean on spoon drain",,,None,0.00
La Scala,8711411696353,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,Remove concrete slurry off floor,,,None,0.00
La Scala,8711411696372,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 107
Remove fixing",,,None,0.00
La Scala,8711411696419,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 107
Cut back reo
Remove debris off soffit
Or close off opening ",,,None,0.00
La Scala,8711411696450,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 107
Remove fixing and patch precast accordingly",,,None,0.00
La Scala,8711411696498,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 105
Patch and seal as required",,,None,0.00
La Scala,8711411696557,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 105
Patch precast as required 
Remove fixings",,,None,0.00
La Scala,8711411696592,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 105
Remove concrete slurry surround discharge point ",,,None,0.00
La Scala,8711411696626,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Driveway to lower basement
Remove marking off soffit",,,None,0.00
La Scala,8711411696667,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Driveway to lower basement
Remove marking off soffit",,,None,0.00
La Scala,8711411696705,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 205
Pipe needs capping or cover, treated alternatively",,,None,0.00
La Scala,8711411696740,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 205
Remove fixings and treat accordingly",,,None,0.00
La Scala,8711411696786,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 205
Remove concrete slurry and patch holes on floor",,,None,0.00
La Scala,8711411696842,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 206
Patching to holes and cover cut hole on floor as required",,,None,0.00
La Scala,8711411696886,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 206
Patch air pockets on soffit
Remove markings",,,None,0.00
La Scala,8711411696918,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 207
Remove fixings off soffit",,,None,0.00
La Scala,8711411696946,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 207
Patch and seal as required",,,None,0.00
La Scala,8711411696980,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 209
Remove marking off soffit",,,None,0.00
La Scala,8711411697002,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,Make smooth finish ,,,None,0.00
La Scala,8711411697022,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 209
Remove concrete slurry",,,None,0.00
La Scala,8711411697084,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 506
Remove marking 
And building material (plywood) off soffit",,,None,0.00
La Scala,8711411697105,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,Remove marking,,,None,0.00
La Scala,8711411697193,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,Remove concrete slurry,,,None,0.00
La Scala,8711411697542,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 406 
Remove fixing and concrete slurry",,,None,0.00
La Scala,8711411697581,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 406
Remove unused fixings off soffit",,,None,0.00
La Scala,8711411697598,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,Rough finish ,,,None,0.00
La Scala,8711411697630,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 401
Remove unused fixings and patch and seal as required",,,None,0.00
La Scala,8711411697717,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Bay 404
Remove concrete slurry and patch and seal
Make smooth finish on wall as required",,,None,0.00
La Scala,8711411697865,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,Remove unused fixing and building debris,,,None,0.00
La Scala,8711411697939,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,Remove fixings,,,None,0.00
La Scala,8711411697966,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Remove bondeck debris
",,,None,0.00
La Scala,8711411698150,Structure > Basement Upper,26/09/2014,henryt,Defect,Superintendant,ABD Group (Mick S),29/09/2014,None,Open,"Ramp to lower basement
Remove unused fixings ",,,None,0.00
