Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
Edgewater,8491410833456,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,"B2 
Control joint to be highlighted",,,None,0.00
Edgewater,8491410833482,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,B2 surface to be finished evenly,,,None,0.00
Edgewater,8491410833500,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,Patch and fill,,,None,0.00
Edgewater,8491410833587,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,B2 g13 need fire collar,,,None,0.00
Edgewater,8491410833614,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B2 g11 bondeck to be clean,,,None,0.00
Edgewater,8491410833640,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B2 seal substrate to be solid and filled,,,None,0.00
Edgewater,8491410833741,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,"Confirm suspended slab joint required
Comment to be made by structural eng",,,None,0.00
Edgewater,8491410833795,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,B2 404 make even and treat joint as required by eng specs,,,None,0.00
Edgewater,8491410833844,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,Infill to be sealed ,,,None,0.00
Edgewater,8491410833873,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B2 404 402 even surface,,,None,0.00
Edgewater,8491410833893,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B2 g14 remove markings,,,None,0.00
Edgewater,8491410833975,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B2 g2 and g1 engineer to comment,,,None,0.00
Edgewater,8491410834001,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B2 g18 fire collard,,,None,0.00
Edgewater,8491410834041,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,Slab irregular ,,,None,0.00
Edgewater,8491410834070,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B2 104 control joint treatment to eng requirement,,,None,0.00
Edgewater,8491410834107,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B2 bay 106 caulking to be finished,,,None,0.00
Edgewater,8491410834151,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B2 bay 108 spoon drain to be made effective,,,None,0.00
Edgewater,8491410834175,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B2 110 remove marking,,,None,0.00
Edgewater,8491410834344,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B2 113 junction to be treated for even physical appearance ,,,None,0.00
Edgewater,8491410834479,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,"B2 wall and slab junction 
Spoon drain discharge point to be fitted off and made effective as per specs",,,None,0.00
Edgewater,8491410834513,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B2 bay 113 reinforcement to be covered,,,None,0.00
Edgewater,8491410834567,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"B2 bay 114 bike rack
Sign to be clean remove marking",,,None,0.00
Edgewater,8491410834597,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"B2 bay 114 bike rack t
Need fire collard",,,None,0.00
Edgewater,8491410834652,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B2 need better fixing to avoid puncture injury,,,None,0.00
Edgewater,8491410834709,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,"B2 external lift lobby
Caulking to be complete",,,None,0.00
Edgewater,8491410834730,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,Brush seal to bottom doors,,,None,0.00
Edgewater,8491410834779,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,Edge bead to be painted,,,None,0.00
Edgewater,8491410834836,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B2 lift lobby paint to be clean,,,None,0.00
Edgewater,8491410834855,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,Need painting,,,None,0.00
Edgewater,8491410834876,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"B2 lobby
Patch",,,None,0.00
Edgewater,8491410834906,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"B2 lobby
Need painting",,,None,0.00
Edgewater,8491410834977,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,Remove fixings or extend water supply as required,,,None,0.00
Edgewater,8491410834999,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B2 Seal penetration ,,,None,0.00
Edgewater,8491410835025,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,Patch and repair corner,,,None,0.00
Edgewater,8491410835107,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,Need caulking b1 to b2 lift lobby,,,None,0.00
Edgewater,8491410835858,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,"Lift lobby b2 to b1
Remove markings",,,None,0.00
Edgewater,8491410835893,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,"Lift lobby b2 to b1
Remove marking and fixing",,,None,0.00
Edgewater,8491410835946,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,Lift lobby b2 to b1 patch,,,None,0.00
Edgewater,8491410835959,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,B1 patch,,,None,0.00
Edgewater,8491410836776,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,Clean dust,,,None,0.00
Edgewater,8491410836814,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"B1 remove fixing and markings
Patch hole",,,None,0.00
Edgewater,8491410836839,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 706 seal and caulk,,,None,0.00
Edgewater,8491410836876,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 706 patched remove marking,,,None,0.00
Edgewater,8491410836914,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"Remove markings
B1 705 and 706",,,None,0.00
Edgewater,8491410836946,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"Fill honey combing
Remove fixing 
B1",,,None,0.00
Edgewater,8491410836983,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 remove marking and patch,,,None,0.00
Edgewater,8491410837007,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"Patch
B1 702 703",,,None,0.00
Edgewater,8491410837027,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 Seal concrete,,,None,0.00
Edgewater,8491410837117,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"Patch up edge for uniformly finish
B1 north wall
Clean wall and remove marking",,,None,0.00
Edgewater,8491410837155,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,Sprinkler leak B1,,,None,0.00
Edgewater,8491410837174,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 clean bondeck,,,None,0.00
Edgewater,8491410837209,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"Patch holes and clean slurry 
B1",,,None,0.00
Edgewater,8491410837243,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"Fitting off at discharge point 
B1",,,None,0.00
Edgewater,8491410837324,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,As per photo,,,None,0.00
Edgewater,8491410837371,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"Clean discharge point and remove pertrusion  made spoon drain effective
B1 ",,,None,0.00
Edgewater,8491410837402,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 607 remove nails and fixing,,,None,0.00
Edgewater,8491410837424,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"B1 507
Patch",,,None,0.00
Edgewater,8491410837460,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"B1 507 column
Remove slurry
Apply sealant as required",,,None,0.00
Edgewater,8491410837524,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"B1
Patch and seal Infill
Make uniform surface",,,None,0.00
Edgewater,8491410837726,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,Confirmation of leak diversion and structural eng o comment on moisture penetration impact ,,,None,0.00
Edgewater,8491410837828,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"B1 
Remove pertrusion around discharge point 
",,,None,0.00
Edgewater,8491410837848,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 remove hardened debris slurry,,,None,0.00
Edgewater,8491410837883,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 Remove hardened debris,,,None,0.00
Edgewater,8491410837932,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"B1
Patch",,,None,0.00
Edgewater,8491410837982,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 remove mounted timber and fixings,,,None,0.00
Edgewater,8491410838009,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 patch and seal,,,None,0.00
Edgewater,8491410838036,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,Remove and patch,,,None,0.00
Edgewater,8491410838061,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 remove markings,,,None,0.00
Edgewater,8491410838088,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 remove nails and slurry,,,None,0.00
Edgewater,8491410838108,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 remove fixing,,,None,0.00
Edgewater,8491410838144,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 Remove blocking and fit off,,,None,0.00
Edgewater,8491410838185,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"B1 seal and patch 
Remove all fixings",,,None,0.00
Edgewater,8491410838209,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Open,B1 Remove all fixings,,,None,0.00
Edgewater,8491410838264,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"B1 remove debris
Remove fixing and patch",,,None,0.00
Edgewater,8491410838304,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,"B1 remove debris 
Patch and seal",,,None,0.00
Edgewater,8491410838346,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 Seal and fire collar as required ,,,None,0.00
Edgewater,8491410838368,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 block as required,,,None,0.00
Edgewater,8491410838415,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 Patch honeycombing as required,,,None,0.00
Edgewater,8491410838452,Basement Upper ,16/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),20/09/2014,None,Closed,B1 remove mounted blocking,,,None,0.00
Edgewater,8711411343812,Basement Upper ,22/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),26/09/2014,None,Open,"External
Patch and create chamfer edge and finish as required",,,None,0.00
Edgewater,8711411343851,Basement Upper ,22/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),26/09/2014,None,Open,"External
Make bush hammer finish as required",,,None,0.00
Edgewater,8711411343915,Basement Upper ,22/09/2014,henryt,Defect,Superintendant,ABD Group (Alex K),26/09/2014,None,Open,"External south
Remove harden slurry and patch air pocket as required
Clean building material debris as required",,,None,0.00
